 ----------------------------------------------------------------------------------------------------
loss                 | architecture | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.14166079461574554  | LSTM         | 24         | 48           | #redacted| 1          | 140   | 709.2349810600281
0.14322753250598907  | LSTM         | 328        | 48           | #redacted| 1          | 119   | 5275.798842668533
0.24355995655059814  | LSTM         | 112        | 24           | #redacted| 1          | 124   | 2255.742638349533
0.2740691900253296   | GRU          | 248        | 88           | #redacted| 1          | 95    | 996.9924335479736
0.27924951910972595  | TCN          | 200        | 88           | #redacted| 1          | 119   | 12379.191086530685
0.3581838309764862   | GRU          | 288        | 72           | #redacted| 1          | 96    | 713.1558222770691
0.44241809844970703  | TCN          | 24         | 72           | #redacted| 1          | 132   | 1014.3280353546143
0.4642176330089569   | GRU          | 24         | 64           | #redacted| 1          | 102   | 1446.61794424057
0.5805928111076355   | TCN          | 472        | 72           | #redacted| 1          | 112   | 21912.633763074875
0.6519110202789307   | TCN          | 440        | 72           | #redacted| 1          | 101   | 19606.977852106094
----------------------------------------------------------------------------------------------------
loss                 | architecture | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.11695743352174759  | LSTM         | 152        | 64           | 0        | 1          | 166   | 2180.932386636734
0.12590575218200684  | TCN          | 408        | 96           | 0.2      | 1          | 123   | 7026.821977615356
0.22546111047267914  | TCN          | 440        | 48           | 0.1      | 1          | 113   | 5947.763978719711
0.22823427617549896  | GRU          | 112        | 72           | 0.4      | 1          | 109   | 1398.5703115463257
0.23749980330467224  | GRU          | 360        | 64           | 0.5      | 1          | 77    | 1305.0848319530487
0.2386731058359146   | GRU          | 592        | 80           | 0.6      | 1          | 70    | 1593.8172941207886
0.25605058670043945  | LSTM         | 96         | 56           | 0.6      | 1          | 122   | 1747.235167503357
0.2692719101905823   | GRU          | 384        | 80           | 0.1      | 1          | 65    | 1668.223845243454
0.30049964785575867  | TCN          | 336        | 128          | 0.2      | 1          | 122   | 29297.41393136978
0.649713397026062    | TCN          | 368        | 112          | 0.6      | 1          | 133   | 29263.797273635864
----------------------------------------------------------------------------------------------------
loss                 | architecture | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.16013042628765106  | LSTM         | 216        | 88           | 0.0      | 1          | 200   | 969.0114457607269
0.16941486299037933  | GRU          | 512        | 64           | 0.2      | 1          | 100   | 912.1791460514069
0.19419950246810913  | LSTM         | 224        | 88           | 0.0      | 1          | 175   | 897.4571189880371
0.1958356350660324   | TCN          | 264        | 72           | 0.3      | 1          | 121   | 2475.282294988632
0.20100989937782288  | GRU          | 472        | 32           | 0.3      | 1          | 111   | 632.8643841743469
0.21606148779392242  | GRU          | 344        | 56           | 0.4      | 1          | 94    | 717.8241872787476
0.21991264820098877  | LSTM         | 240        | 96           | 0.6      | 1          | 154   | 2594.2458186149597
0.25945690274238586  | GRU          | 448        | 120          | 0.5      | 1          | 86    | 999.0569081306458
0.29207727313041687  | GRU          | 616        | 56           | 0.2      | 1          | 109   | 1779.9582574367523
0.8930158019065857   | TCN          | 464        | 80           | 0.7      | 1          | 81    | 4858.98715877533
----------------------------------------------------------------------------------------------------
loss                 | architecture | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.107406847178936    | LSTM         | 520        | 48           | 0.2      | 1          | 110   | 714.986257314682
0.1418696790933609   | LSTM         | 640        | 64           | 0.5      | 1          | 110   | 941.5610206127167
0.14752699434757233  | LSTM         | 592        | 40           | 0.3      | 1          | 112   | 1828.2389869689941
0.1496840864419937   | GRU          | 648        | 48           | 0.0      | 1          | 89    | 597.2161176204681
0.17537225782871246  | GRU          | 640        | 112          | 0.1      | 1          | 69    | 718.6440670490265
0.18528276681900024  | TCN          | 384        | 104          | 0.5      | 1          | 96    | 4475.711643457413
0.18877126276493073  | LSTM         | 336        | 32           | 0.2      | 1          | 121   | 784.6775557994843
0.27188175916671753  | TCN          | 24         | 64           | 0.1      | 1          | 128   | 707.5597302913666
0.2955376207828522   | TCN          | 176        | 48           | 0.3      | 1          | 119   | 953.4932017326355
0.3776053488254547   | GRU          | 392        | 104          | 0.7      | 1          | 114   | 846.8044195175171
