----------------------------------------------------------------------------------------------------
loss                 | architecture | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time½
0.1867733597755432   | LSTM         | 119        | 28           | 0.2      | 1          | 55    | 316.1898605823517
0.2304753065109253   | LSTM         | 34         | 16           | 0.5      | 1          | 66    | 277.2027542591095
0.29222267866134644  | LSTM         | 279        | 109          | 0.4      | 2          | 54    | 676.9690420627594
0.3676917850971222   | LSTM         | 20         | 5            | 0.1      | 3          | 51    | 173.45311069488525
0.37115344405174255  | LSTM         | 34         | 10           | 0.3      | 2          | 68    | 232.82143831253052
0.3736526668071747   | LSTM         | 83         | 8            | 0.6      | 3          | 48    | 259.4259297847748
0.3805587887763977   | LSTM         | 421        | 19           | 0.5      | 3          | 28    | 326.9027659893036
0.38220304250717163  | LSTM         | 438        | 11           | 0.4      | 3          | 35    | 188.35825538635254
0.3905024230480194   | LSTM         | 16         | 33           | 0.4      | 2          | 68    | 209.1774616241455
0.39947450160980225  | LSTM         | 619        | 35           | 0.6      | 2          | 65    | 418.74591040611267
----------------------------------------------------------------------------------------------------
loss                 | LSTM         | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.15826477110385895  | LSTM         | 31         | 25           | 0.0      | 1          | 113   | 290.8854100704193
0.18767261505126953  | LSTM         | 327        | 114          | 0.1      | 1          | 87    | 684.8398718833923
0.20064447820186615  | LSTM         | 18         | 39           | 0.2      | 1          | 93    | 264.4643108844757
0.2228669673204422   | LSTM         | 20         | 30           | 0.4      | 1          | 47    | 150.38730645179749
0.3587539792060852   | LSTM         | 381        | 13           | 0.5      | 3          | 25    | 165.080552816391
0.37366214394569397  | LSTM         | 83         | 51           | 0.4      | 3          | 37    | 167.00173568725586
0.3749406337738037   | LSTM         | 82         | 13           | 0.5      | 2          | 66    | 222.05441331863403
0.37979817390441895  | LSTM         | 104        | 14           | 0.6      | 3          | 25    | 130.87074542045593
0.41164401173591614  | LSTM         | 127        | 7            | 0.1      | 2          | 82    | 289.37515211105347
0.4988362193107605   | LSTM         | 372        | 10           | 0.0      | 3          | 94    | 665.9855706691742
----------------------------------------------------------------------------------------------------
loss                 | LSTM         | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.18388286232948303  | LSTM         | 422        | 111          | 0.1      | 1          | 68    | 647.1389172077179
0.1872578263282776   | LSTM         | 132        | 59           | 0.1      | 1          | 79    | 391.14028549194336
0.18889212608337402  | LSTM         | 206        | 79           | 0.3      | 1          | 84    | 326.2739598751068
0.19008769094944     | LSTM         | 151        | 46           | 0.2      | 1          | 41    | 338.9952161312103
0.1996418684720993   | LSTM         | 54         | 27           | 0.2      | 1          | 60    | 197.07155919075012
0.20031127333641052  | LSTM         | 612        | 37           | 0.1      | 1          | 66    | 324.11577320098877
0.20874838531017303  | LSTM         | 20         | 94           | 0.4      | 1          | 67    | 233.14471793174744
0.23610417544841766  | LSTM         | 212        | 25           | 0.4      | 1          | 49    | 176.75209975242615
0.23866121470928192  | LSTM         | 27         | 38           | 0.6      | 1          | 56    | 176.88582706451416
0.3128843605518341   | LSTM         | 167        | 24           | 0.8      | 1          | 57    | 263.3034448623657
